date,symbol,signal,confidence,predicted_return_1d,predicted_price_1d,close,weight,portfolio_impact_score,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,var_95,expected_shortfall_95,signal_reason,signal_source
2021-04-30,BAJAJFINSV,SELL,0.736101922411669,-0.012605662356203836,10902.462688244621,11041.65,0.14897743968308852,-0.0013823694533970504,0.41360781736327823,0.3640031250652045,0.9714417075401094,1.326201150308155,-0.5858958485989332,-0.03106277432851448,-0.04911502268721487,close above 20-day MA; close above 50-day MA; MACD bullish; RSI neutral; positive 20-day momentum,model_plus_indicators
2021-04-30,BAJAJ-AUTO,BUY,0.7035986806752915,-0.000511184406928246,3831.790246779939,3833.75,0.0,-0.0,0.07460955573601602,0.2675352546891732,0.05460796466988861,0.07722782737583772,-0.4328806457756489,-0.023884570859088124,-0.036762644084377356,close above 20-day MA; close above 50-day MA; MACD bullish; RSI neutral; positive 20-day momentum,model_plus_indicators
2011-08-05,HEROHONDA,SELL,0.7027961110136044,0.0005557716103553084,1786.3422468445476,1785.35,0.0,0.0,,,,,,,,close below 20-day MA; close below 50-day MA; MACD bearish; RSI neutral; negative 20-day momentum,model_plus_indicators
2021-04-30,ZEEL,SELL,0.7027491574072819,0.0005583801440398925,185.7036353547338,185.6,0.0,0.0,-0.10810549544070513,0.4628600250585646,-0.3631886236436926,-0.4747168437709819,-0.8057548092598623,-0.039536830881128034,-0.0674558048882601,close below 20-day MA; close below 50-day MA; MACD bearish; RSI neutral; negative 20-day momentum,model_plus_indicators
2021-04-30,HDFC,SELL,0.7016101684516636,-0.0061338982473146415,2405.2553528516737,2420.1,0.0,-0.0,0.13143923793171175,0.30345325537611123,0.23542089816491607,0.33055867458331656,-0.39832684668779805,-0.027406890602465855,-0.04269139042288666,close below 20-day MA; close below 50-day MA; MACD bullish; RSI neutral; negative 20-day momentum,model_plus_indicators
2021-04-30,ONGC,SELL,0.7002671424283919,-0.010614841246021777,107.00200491924275,108.15,0.0,-0.0,-0.17001363343576614,0.37346405328375426,-0.6158922964963487,-0.7254233460584448,-0.8371998371998376,-0.030623620767994863,-0.054432326020230085,close above 20-day MA; close above 50-day MA; MACD bullish; RSI neutral; positive 20-day momentum,model_plus_indicators
2021-04-30,HCLTECH,HOLD,0.6732988916330159,0.0021945060203880052,900.9227511870279,898.95,0.0,0.0,-0.08927779186044915,0.4053528589273395,-0.36826628596002464,-0.3271064511233247,-0.8035532749189143,-0.027060504244360305,-0.05233583520382397,close below 20-day MA; close below 50-day MA; MACD bearish; RSI neutral; negative 20-day momentum,model_plus_indicators
2021-04-30,HDFCBANK,SELL,0.6637487001483531,-0.0040304833415751706,1406.6077483766933,1412.3,0.0,-0.0,0.06555985416845234,0.3074416279201826,0.01808425946110257,0.01686896289729971,-0.6923046092184364,-0.01909129098578088,-0.037862241640383126,close below 20-day MA; close below 50-day MA; MACD bullish; RSI neutral; negative 20-day momentum,model_plus_indicators
2021-04-30,ICICIBANK,HOLD,0.6552386658809674,-0.003197851895501814,598.5796899367512,600.5,0.0,-0.0,0.089664591779548,0.3642195751694794,0.08144700011179908,0.120174920925482,-0.5234995443301655,-0.033136411528272174,-0.04934238246570154,close above 20-day MA; close above 50-day MA; MACD bullish; RSI neutral; positive 20-day momentum,model_plus_indicators
2021-04-30,INFY,SELL,0.6319423391424155,-0.0014190188412453017,1352.4281518323594,1354.35,0.0,-0.0,-0.05889093253552513,0.3956807101184992,-0.3004718943713972,-0.26693481910694095,-0.7735406719146553,-0.023723460804174663,-0.05070355653228401,close below 20-day MA; close above 50-day MA; MACD bearish; RSI neutral; negative 20-day momentum,model_plus_indicators
2021-04-30,POWERGRID,HOLD,0.6314767625155674,-0.00029573541580180703,219.98492342175282,220.05,0.0,-0.0,0.07916414187199172,0.24540278789177813,0.07809260048195969,0.11673391341629999,-0.3620269971232578,-0.022947668940698027,-0.0332727087276866,close above 20-day MA; close above 50-day MA; MACD bullish; RSI neutral; negative 20-day momentum,model_plus_indicators
2013-10-03,SESAGOA,BUY,0.625432523860312,0.0019018068811284409,188.50782496468435,188.15,0.0,0.0,,,,,,,,close above 20-day MA; close above 50-day MA; MACD bearish; RSI neutral; positive 20-day momentum,model_plus_indicators
2021-04-30,COALINDIA,HOLD,0.6150269392346487,0.0004792744019249213,133.1137674591761,133.05,0.0,0.0,-0.1554957438544925,0.296197412977309,-0.7275409386205581,-1.0569390305287796,-0.7506765899864682,-0.029876286658004472,-0.041708085444554274,close above 20-day MA; close below 50-day MA; MACD bullish; RSI neutral; positive 20-day momentum,model_plus_indicators
